@relation 'C:\\Research\\Software\\Ayllu\\data\\2DLinearlySeparable.libsvm'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute class {1,2}

@data
{0 0.168,1 0.786,2 1}
{0 0.418,1 0.54,2 1}
{0 0.756,1 0.186,2 1}
{0 0.256,1 0.25,2 1}
{0 0.256,1 0.25,2 1}
{0 0.256,1 0.25,2 1}
{0 0.228,1 0.36,2 1}
{0 0.198,1 0.538,2 1}
{0 0.31,1 0.416,2 1}
{0 0.384,1 0.306,2 1}
{0 0.498,1 0.162,2 1}
{0 0.33,1 0.164,2 1}
{0 0.26,1 0.168,2 1}
{0 0.316,1 0.226,2 1}
{0 0.236,1 0.224,2 1}
{0 0.178,1 0.272,2 1}
{0 0.174,1 0.462,2 1}
{0 0.25,1 0.448,2 1}
{0 0.254,1 0.54,2 1}
{0 0.246,1 0.594,2 1}
{0 0.21,1 0.626,2 1}
{0 0.304,1 0.56,2 1}
{0 0.35,1 0.486,2 1}
{0 0.318,1 0.47,2 1}
{0 0.352,1 0.374,2 1}
{0 0.324,1 0.31,2 1}
{0 0.46,1 0.204,2 1}
{0 0.4,1 0.256,2 1}
{0 0.394,1 0.184,2 1}
{0 0.492,1 0.13,2 1}
{0 0.398,1 0.148,2 1}
{0 0.366,1 0.128,2 1}
{0 0.448,1 0.08,2 1}
{0 0.44,1 0.15,2 1}
{0 0.494,1 0.224,2 1}
{0 0.458,1 0.31,2 1}
{0 0.43,1 0.39,2 1}
{0 0.456,1 0.35,2 1}
{0 0.476,1 0.386,2 1}
{0 0.442,1 0.442,2 1}
{0 0.394,1 0.422,2 1}
{0 0.57,1 0.298,2 1}
{0 0.586,1 0.25,2 1}
{0 0.65,1 0.154,2 1}
{0 0.76,1 0.058,2 1}
{0 0.684,1 0.062,2 1}
{0 0.568,1 0.114,2 1}
{0 0.554,1 0.206,2 1}
{0 0.568,1 0.168,2 1}
{0 0.628,1 0.098,2 1}
{0 0.58,1 0.082,2 1}
{0 0.552,1 0.068,2 1}
{0 0.51,1 0.068,2 1}
{0 0.344,1 0.068,2 1}
{0 0.254,1 0.072,2 1}
{0 0.224,1 0.088,2 1}
{0 0.212,1 0.19,2 1}
{0 0.184,1 0.124,2 1}
{0 0.15,1 0.088,2 1}
{0 0.124,1 0.082,2 1}
{0 0.112,1 0.11,2 1}
{0 0.112,1 0.13,2 1}
{0 0.12,1 0.19,2 1}
{0 0.122,1 0.238,2 1}
{0 0.126,1 0.272,2 1}
{0 0.136,1 0.308,2 1}
{0 0.19,1 0.16,2 1}
{0 0.234,1 0.142,2 1}
{0 0.256,1 0.104,2 1}
{0 0.296,1 0.1,2 1}
{0 0.308,1 0.134,2 1}
{0 0.266,1 0.154,2 1}
{0 0.264,1 0.138,2 1}
{0 0.206,1 0.13,2 1}
{0 0.164,1 0.2,2 1}
{0 0.186,1 0.264,2 1}
{0 0.194,1 0.218,2 1}
{0 0.25,1 0.212,2 1}
{0 0.274,1 0.204,2 1}
{0 0.306,1 0.168,2 1}
{0 0.294,1 0.23,2 1}
{0 0.33,1 0.196,2 1}
{0 0.342,1 0.11,2 1}
{0 0.368,1 0.11,2 1}
{0 0.394,1 0.086,2 1}
{0 0.394,1 0.126,2 1}
{0 0.37,1 0.196,2 1}
{0 0.35,1 0.272,2 1}
{0 0.306,1 0.278,2 1}
{0 0.288,1 0.284,2 1}
{0 0.27,1 0.286,2 1}
{0 0.246,1 0.278,2 1}
{0 0.21,1 0.276,2 1}
{0 0.21,1 0.306,2 1}
{0 0.184,1 0.352,2 1}
{0 0.186,1 0.31,2 1}
{0 0.186,1 0.344,2 1}
{0 0.228,1 0.336,2 1}
{0 0.258,1 0.32,2 1}
{0 0.282,1 0.342,2 1}
{0 0.284,1 0.366,2 1}
{0 0.27,1 0.394,2 1}
{0 0.252,1 0.394,2 1}
{0 0.226,1 0.394,2 1}
{0 0.192,1 0.418,2 1}
{0 0.198,1 0.372,2 1}
{0 0.356,1 0.334,2 1}
{0 0.394,1 0.212,2 1}
{0 0.372,1 0.218,2 1}
{0 0.368,1 0.174,2 1}
{0 0.362,1 0.148,2 1}
{0 0.428,1 0.108,2 1}
{0 0.452,1 0.114,2 1}
{0 0.48,1 0.104,2 1}
{0 0.506,1 0.104,2 1}
{0 0.532,1 0.102,2 1}
{0 0.56,1 0.096,2 1}
{0 0.612,1 0.064,2 1}
{0 0.652,1 0.07,2 1}
{0 0.652,1 0.11,2 1}
{0 0.638,1 0.162,2 1}
{0 0.628,1 0.132,2 1}
{0 0.606,1 0.11,2 1}
{0 0.598,1 0.166,2 1}
{0 0.598,1 0.148,2 1}
{0 0.584,1 0.132,2 1}
{0 0.552,1 0.156,2 1}
{0 0.548,1 0.118,2 1}
{0 0.518,1 0.15,2 1}
{0 0.524,1 0.232,2 1}
{0 0.524,1 0.192,2 1}
{0 0.5,1 0.198,2 1}
{0 0.48,1 0.178,2 1}
{0 0.48,1 0.144,2 1}
{0 0.464,1 0.176,2 1}
{0 0.444,1 0.196,2 1}
{0 0.438,1 0.248,2 1}
{0 0.454,1 0.248,2 1}
{0 0.474,1 0.244,2 1}
{0 0.498,1 0.26,2 1}
{0 0.472,1 0.282,2 1}
{0 0.452,1 0.282,2 1}
{0 0.444,1 0.284,2 1}
{0 0.422,1 0.328,2 1}
{0 0.414,1 0.348,2 1}
{0 0.392,1 0.388,2 1}
{0 0.376,1 0.394,2 1}
{0 0.348,1 0.42,2 1}
{0 0.334,1 0.43,2 1}
{0 0.33,1 0.38,2 1}
{0 0.332,1 0.348,2 1}
{0 0.374,1 0.288,2 1}
{0 0.41,1 0.29,2 1}
{0 0.426,1 0.226,2 1}
{0 0.458,1 0.22,2 1}
{0 0.43,1 0.18,2 1}
{0 0.422,1 0.154,2 1}
{0 0.34,1 0.248,2 1}
{0 0.3,1 0.39,2 1}
{0 0.31,1 0.35,2 1}
{0 0.31,1 0.332,2 1}
{0 0.286,1 0.434,2 1}
{0 0.264,1 0.418,2 1}
{0 0.242,1 0.426,2 1}
{0 0.222,1 0.454,2 1}
{0 0.222,1 0.486,2 1}
{0 0.258,1 0.478,2 1}
{0 0.278,1 0.476,2 1}
{0 0.29,1 0.446,2 1}
{0 0.27,1 0.502,2 1}
{0 0.24,1 0.516,2 1}
{0 0.398,1 0.334,2 1}
{0 0.39,1 0.35,2 1}
{0 0.348,1 0.292,2 1}
{0 0.374,1 0.252,2 1}
{0 0.302,1 0.25,2 1}
{0 0.292,1 0.26,2 1}
{0 0.294,1 0.306,2 1}
{0 0.264,1 0.338,2 1}
{0 0.168,1 0.132,2 1}
{0 0.148,1 0.112,2 1}
{0 0.148,1 0.142,2 1}
{0 0.138,1 0.174,2 1}
{0 0.146,1 0.214,2 1}
{0 0.146,1 0.274,2 1}
{0 0.172,1 0.37,2 1}
{0 0.204,1 0.57,2 1}
{0 0.286,1 0.536,2 1}
{0 0.308,1 0.5,2 1}
{0 0.324,1 0.502,2 1}
{0 0.358,1 0.458,2 1}
{0 0.36,1 0.438,2 1}
{0 0.384,1 0.43,2 1}
{0 0.44,1 0.376,2 1}
{0 0.24,1 0.644,2 1}
{0 0.232,1 0.68,2 1}
{0 0.21,1 0.702,2 1}
{0 0.282,1 0.598,2 1}
{0 0.36,1 0.518,2 1}
{0 0.386,1 0.472,2 1}
{0 0.42,1 0.424,2 1}
{0 0.472,1 0.356,2 1}
{0 0.508,1 0.302,2 1}
{0 0.51,1 0.286,2 1}
{0 0.524,1 0.27,2 1}
{0 0.564,1 0.226,2 1}
{0 0.592,1 0.192,2 1}
{0 0.616,1 0.188,2 1}
{0 0.684,1 0.12,2 1}
{0 0.704,1 0.092,2 1}
{0 0.74,1 0.054,2 1}
{0 0.722,1 0.062,2 1}
{0 0.722,1 0.062,2 1}
{0 0.684,1 0.088,2 1}
{0 0.664,1 0.078,2 1}
{0 0.526,1 0.074,2 1}
{0 0.166,1 0.672,2 1}
{0 0.176,1 0.6,2 1}
{0 0.176,1 0.568,2 1}
{0 0.18,1 0.51,2 1}
{0 0.204,1 0.498,2 1}
{0 0.222,1 0.534,2 1}
{0 0.224,1 0.576,2 1}
{0 0.206,1 0.43,2 1}
{0 0.174,1 0.404,2 1}
{0 0.154,1 0.364,2 1}
{0 0.162,1 0.322,2 1}
