@relation Circle

@attribute x0 numeric
@attribute x1 numeric
@attribute class {1,-1}

@data
-0.585863,0.167212,-1
-0.718268,-0.454354,-1
-0.44511,-0.03105,-1
0.002535,0.658158,-1
-0.837856,-0.683341,-1
-0.75093,-0.05368,-1
0.083414,-0.129169,1
-0.615459,-0.408329,-1
-0.334321,0.610167,-1
0.650468,-0.296015,-1
0.954157,-0.360219,-1
-0.629098,0.270486,-1
-0.769691,-0.896627,-1
0.884451,0.130765,-1
-0.810645,0.272518,-1
0.913759,0.329478,-1
-0.400339,-0.966278,-1
0.233836,0.824832,-1
0.710516,-0.333786,-1
0.226089,0.927056,-1
0.143615,0.799241,-1
0.959377,0.940056,-1
-0.155783,-0.210349,1
-0.228998,0.649085,-1
0.383901,-0.033667,1
-0.300071,-0.955201,-1
-0.189909,-0.315873,1
0.093624,-0.207293,1
0.985707,0.586744,-1
0.803632,0.032462,-1
-0.951918,0.129636,-1
-0.183321,0.715538,-1
-0.013793,0.295228,1
-0.988996,0.428505,-1
-0.187533,-0.784326,-1
-0.319682,0.860625,-1
0.660323,0.075507,-1
0.840862,-0.05004,-1
0.217343,0.42337,-1
0.130588,-0.467635,-1
0.879051,-0.103198,-1
0.636254,-0.653928,-1
0.862009,0.827794,-1
0.980298,0.9598,-1
0.22654,0.512276,-1
0.60313,0.191811,-1
-0.824493,0.812621,-1
0.981559,0.212905,-1
-0.410405,-0.113729,-1
-0.911003,0.799281,-1
-0.029325,-0.892791,-1
0.589757,-0.304212,-1
-0.0446,-0.633749,-1
-0.493612,0.929579,-1
0.418895,0.718616,-1
0.279093,-0.655932,-1
-0.111723,-0.971454,-1
0.20361,-0.131821,1
-0.706782,-0.78077,-1
0.800793,0.073214,-1
0.63236,0.976139,-1
-0.799293,0.973757,-1
0.58811,0.884804,-1
0.523346,-0.176672,-1
-0.041458,0.24406,1
0.263351,0.609067,-1
-0.906938,0.895194,-1
-0.354779,0.729444,-1
0.77173,-0.43475,-1
0.953661,-0.489181,-1
0.280681,-0.248926,1
0.74696,-0.358776,-1
0.544092,-0.606861,-1
-0.086101,-0.71963,-1
0.681558,0.738603,-1
0.28193,0.172145,1
0.865127,0.073545,-1
-0.049402,-0.560935,-1
0.475078,-0.065091,-1
-0.340267,-0.767907,-1
0.231585,-0.277361,1
0.052031,0.574021,-1
-0.415553,0.659689,-1
-0.351489,-0.140482,1
-0.541912,0.184715,-1
-0.601097,0.910167,-1
-0.098642,-0.27584,1
0.126475,-0.980063,-1
-0.214814,-0.699831,-1
-0.313304,0.245482,1
0.370929,0.850362,-1
-0.771929,-0.866864,-1
0.514842,-0.598253,-1
0.557917,-0.859916,-1
-0.196531,-0.134219,1
-0.68687,0.859895,-1
-0.585023,0.479878,-1
0.431772,-0.3608,-1
-0.480733,0.592822,-1
0.141149,0.980266,-1
0.68651,-0.241521,-1
0.566315,-0.550923,-1
-0.350664,0.075852,1
-0.936008,0.089029,-1
-0.145268,0.569012,-1
0.266667,-0.94113,-1
0.392994,0.75663,-1
0.646661,-0.659546,-1
-0.505793,0.948822,-1
0.482727,-0.407461,-1
-0.34867,0.841005,-1
-0.946912,0.944388,-1
-0.39186,0.699221,-1
-0.1123,-0.492814,-1
0.764675,-0.545778,-1
0.515797,-0.036769,-1
-0.5743,-0.520969,-1
0.136262,-0.853146,-1
0.102828,0.846661,-1
0.026267,0.326509,1
-0.745813,0.067536,-1
-0.085754,-0.348201,1
-0.80561,0.495759,-1
-0.715894,0.850525,-1
0.50281,0.034856,-1
-0.341402,0.276767,-1
0.819018,-0.80859,-1
0.039613,0.037862,1
0.034286,-0.270607,1
-0.764581,0.25647,-1
-0.072458,-0.720636,-1
-0.904495,-0.349247,-1
0.017725,0.40303,-1
0.160693,-0.248097,1
0.415662,0.613419,-1
0.986546,0.311177,-1
0.222034,0.489269,-1
0.074496,0.224448,1
-0.512642,-0.410115,-1
-0.629544,-0.444539,-1
-0.317511,-0.183257,1
-0.417444,-0.983721,-1
-0.192671,0.440699,-1
0.825905,0.587758,-1
0.392845,0.923115,-1
-0.427074,-0.607429,-1
0.758297,0.576614,-1
-0.779578,-0.114486,-1
0.679143,0.638098,-1
-0.458418,-0.06285,-1
0.750389,-0.134981,-1
0.550975,0.545806,-1
-0.980993,-0.475063,-1
0.107443,0.449999,-1
0.670214,-0.052332,-1
-0.283928,-0.056984,1
0.314553,-0.044474,1
-0.166531,0.393146,-1
0.158542,-0.827882,-1
-0.514679,0.378739,-1
-0.252679,-0.685932,-1
0.911982,0.076851,-1
-0.131787,0.736322,-1
0.062907,0.593054,-1
0.477075,0.253241,-1
-0.223549,-0.42654,-1
-0.375178,0.810156,-1
0.004773,-0.323511,1
0.037479,-0.919005,-1
0.036012,-0.933608,-1
-0.092958,-0.091558,1
0.228011,0.820164,-1
-0.817885,0.498755,-1
0.622776,-0.625054,-1
-0.915618,-0.653768,-1
0.06904,-0.438935,-1
0.709787,-0.794605,-1
0.211499,-0.677645,-1
-0.86416,0.89201,-1
-0.532113,-0.015551,-1
0.992456,0.458447,-1
-0.431757,0.176619,-1
