@relation HalfMoonWithLabel

@attribute X numeric
@attribute Y numeric
@attribute class {1,2}

@data
0.622617,0.025376,2
0.721903,-0.232754,2
0.557141,-0.139526,2
0.719353,-0.094706,2
0.67142,-0.012172,2
0.596237,0.306162,2
0.2864,-0.379006,2
0.589108,-0.576433,2
0.665748,0.028547,2
0.615084,-0.033845,2
0.798113,-0.09332,2
0.330717,-0.166232,2
0.481917,-0.090677,2
0.733252,0.207786,2
0.600476,0.01886,2
0.726568,-0.240261,2
0.671154,0.192761,2
0.448384,0.030451,2
0.305724,-0.02556,2
0.598079,-0.005193,2
0.611611,0.429402,2
0.69408,-0.251405,2
0.354873,-0.340345,2
0.603199,-0.098914,2
0.673336,0.095788,2
0.381541,0.185234,2
0.25305,-0.34023,2
0.606469,-0.404496,2
0.60186,-0.053392,2
0.766133,-0.195266,2
0.690368,-0.032731,2
0.2538,-0.36149,2
0.501357,-0.309852,2
0.568076,-0.20599,2
0.558879,-0.101354,2
0.62478,0.239324,2
0.636975,-0.251465,2
0.497678,-0.198203,2
0.590642,-0.197837,2
0.703375,-0.231917,2
0.755132,-0.018879,2
0.427646,-0.294925,2
0.512808,0.007176,2
0.357586,-0.130643,2
0.379268,0.016387,2
0.699274,0.407856,2
0.545015,0.186449,2
0.366275,-0.21838,2
0.571491,-0.041606,2
0.572199,0.038127,2
0.764178,-0.278106,2
0.390584,0.233688,2
0.347958,-0.643304,2
0.566077,0.070724,2
0.556947,-0.075605,2
0.525823,0.21417,2
0.549136,-0.282697,2
0.491386,-0.296906,2
0.428461,0.172606,2
0.530537,-0.073139,2
0.696638,-0.193995,2
0.608229,-0.029921,2
0.361833,0.006679,2
0.824253,0.245687,2
0.624434,0.026269,2
0.938389,0.116131,2
0.658361,-0.000878,2
0.738985,-0.253178,2
0.654125,0.002165,2
0.753977,0.067345,2
0.805426,-0.318748,2
0.462088,0.008566,2
0.565457,-0.060682,2
0.521455,-0.342215,2
0.634542,-0.244358,2
0.710208,0.57732,2
0.591384,0.074303,2
0.628343,-0.025594,2
0.597862,-0.085024,2
0.582673,-0.409384,2
0.861466,0.341691,2
0.237688,0.17051,2
0.719194,0.074298,2
0.309392,-0.179336,2
0.606354,-0.056686,2
0.25134,-0.551619,2
0.373099,-0.049418,2
0.432167,0.080342,2
0.620393,0.050067,2
0.465709,0.017143,2
0.638754,0.128478,2
0.698088,-0.299158,2
0.560106,-0.502948,2
0.641922,-0.004513,2
0.592377,0.278542,2
0.495965,-0.083098,2
0.569454,-0.205892,2
0.685987,0.000252,2
0.404695,-0.389994,2
0.949565,-0.346852,2
0.517313,0.038523,2
0.524881,0.094849,2
0.797835,-0.097987,2
0.466516,0.056064,2
0.488416,-0.085627,2
0.733184,0.328655,2
0.561655,-0.122185,2
0.578651,0.366462,2
0.808292,0.009429,2
0.57596,-0.123252,2
0.793739,-0.149281,2
0.373434,-0.103122,2
0.508676,-0.089767,2
0.436502,-0.223025,2
0.438715,0.02292,2
0.500855,0.090369,2
0.520475,-0.232997,2
0.570879,-0.260582,2
0.469855,0.306332,2
0.582604,-0.324584,2
0.60419,-0.111903,2
0.512033,0.476823,2
0.519262,-0.32109,2
0.648653,-0.15538,2
0.517782,-0.467793,2
0.483814,0.21284,2
0.684021,-0.083396,2
0.662984,-0.122716,2
0.524615,0.407104,2
0.545976,0.430099,2
0.495191,0.145118,2
0.562404,0.385368,2
0.556699,0.078727,2
0.434956,0.080631,2
0.376103,-0.169079,2
0.677638,0.243711,2
0.668831,0.434077,2
0.313933,-0.014301,2
0.439418,-0.04609,2
0.525354,-0.24253,2
0.240839,-0.04019,2
0.52503,0.016956,2
0.501423,0.215331,2
0.698996,0.159485,2
0.485368,-0.012627,2
0.731764,0.318989,2
0.651813,-0.065255,2
0.59045,0.041749,2
0.573811,0.113563,2
0.636966,-0.20522,2
0.358838,-0.180657,2
0.643476,0.171033,2
0.504119,-0.025407,2
0.57067,-0.300123,2
0.59274,-0.173189,2
0.369492,0.130778,2
0.545861,0.108255,2
0.473498,-0.092725,2
0.442075,-0.083731,2
0.313422,-0.079817,2
0.787475,0.206719,2
0.59493,0.096167,2
0.508898,-0.16973,2
0.484638,0.129349,2
0.404333,0.104119,2
0.498724,-0.212752,2
0.333043,-0.188414,2
0.386656,0.22259,2
0.320991,-0.126771,2
0.859769,-0.035098,2
0.528717,0.142679,2
0.512094,0.241709,2
0.510795,-0.014505,2
0.812762,0.330138,2
0.421595,0.013615,2
0.527937,-0.131344,2
0.500391,-0.068268,2
0.614779,0.24726,2
0.444743,-0.116332,2
0.505953,-0.048925,2
0.747728,-0.325383,2
0.445658,-0.002919,2
0.513535,0.151893,2
0.52179,-0.109127,2
0.664779,0.090016,2
0.542693,0.171896,2
0.900521,-0.322055,2
0.203179,-0.024821,2
0.319006,0.400894,2
0.314646,0.102551,2
0.462958,0.004396,2
0.514221,0.101093,2
0.53396,-0.149107,2
0.549619,0.410113,2
0.460721,0.051108,2
0.482497,-0.207265,2
0.511465,-0.041891,2
0.536966,0.050721,2
0.47059,-0.163286,2
0.344554,0.220474,2
0.518084,-0.241106,2
0.442813,-0.002268,2
0.645331,-0.070853,2
0.681965,0.343897,2
0.493835,-0.104826,2
0.602507,-0.34244,2
0.594939,0.435722,2
0.553449,0.39128,2
0.456469,0.229034,2
0.537279,0.21536,2
0.714782,-0.218647,2
0.634133,0.19214,2
0.453778,-0.273682,2
0.528357,-0.081598,2
0.296324,-0.032918,2
0.11665,0.405897,2
0.63135,0.351071,2
0.613294,0.224503,2
0.352617,0.060629,2
0.834458,0.126366,2
0.609077,0.48152,2
0.660711,0.232094,2
0.373588,0.142279,2
0.429183,0.163969,2
0.588534,0.031722,2
0.309123,0.251867,2
0.441035,-0.177937,2
0.435536,-0.237166,2
0.693157,0.045893,2
0.508528,-0.006315,2
0.598351,-0.008708,2
0.366889,0.21695,2
0.441207,0.346149,2
0.415264,-0.291278,2
0.436659,-0.050804,2
0.608728,0.238389,2
0.487101,0.084848,2
0.428107,-0.188057,2
0.575551,0.228005,2
0.473698,0.009233,2
0.621165,0.028173,2
0.536708,0.164793,2
0.561457,0.334605,2
0.555621,0.300645,2
0.538262,0.122583,2
0.367208,0.394829,2
0.344828,-0.026853,2
0.665081,-0.352361,2
0.455777,0.310344,2
0.645776,-0.220713,2
0.552683,0.092486,2
0.628146,0.490246,2
0.573561,-0.01224,2
0.442616,0.208976,2
0.364021,0.338197,2
0.334207,0.492299,2
0.515306,0.481456,2
0.401985,-0.038154,2
0.491147,0.03987,2
0.474961,-0.039952,2
0.746361,0.178794,2
0.477229,-0.262201,2
0.568792,-0.184483,2
0.663862,0.085128,2
0.447519,0.067451,2
0.235362,0.140876,2
0.513884,0.254341,2
0.500231,-0.500763,2
0.481734,0.21477,2
0.645362,-0.223841,2
0.666058,0.287354,2
0.417768,-0.048389,2
0.259798,0.726606,2
0.695301,0.229246,2
0.552038,0.003907,2
0.575711,-0.213441,2
0.767099,0.147813,2
0.65595,0.129617,2
0.533315,0.176452,2
0.573388,0.524687,2
0.571258,0.27002,2
0.609508,0.161244,2
0.613574,0.05742,2
0.573512,0.227274,2
0.533595,0.171985,2
0.250104,-0.005048,2
0.379762,0.1926,2
0.577748,0.211981,2
0.493969,0.041608,2
0.619092,-0.234115,2
0.378642,0.261362,2
0.561369,0.281854,2
0.801157,0.175602,2
0.593893,-0.087399,2
0.437477,0.391165,2
0.4583,-0.080943,2
0.899439,0.040308,2
0.562854,0.075127,2
0.525387,0.253185,2
0.690039,0.220159,2
0.527937,0.114924,2
0.648667,0.405549,2
0.328074,0.056872,2
0.564134,0.077524,2
0.526139,0.256704,2
0.837928,0.461246,2
0.65556,0.516488,2
0.545683,-0.357635,2
0.534136,0.0433,2
0.379886,0.199846,2
0.590052,0.149296,2
0.551165,0.055018,2
0.263804,0.13496,2
0.45763,-0.032782,2
0.715847,0.160126,2
0.604783,0.074311,2
0.578516,0.199791,2
0.573105,0.09493,2
0.447851,-0.00617,2
0.751813,0.154095,2
0.481777,-0.015338,2
0.59792,0.157381,2
0.435591,0.046637,2
0.315212,-0.477156,2
0.44694,0.169261,2
0.686151,0.418104,2
0.574453,0.346366,2
0.513648,0.111744,2
0.633595,0.002416,2
0.472839,0.602984,2
0.455478,-0.149676,2
0.575433,0.297631,2
0.574618,0.495219,2
0.452886,0.046318,2
0.678453,0.013709,2
0.407561,0.198962,2
0.280651,0.317604,2
0.556181,0.159323,2
0.520634,0.416489,2
0.558399,0.365735,2
0.568018,-0.100091,2
0.53203,0.513032,2
0.401639,-0.111724,2
0.326322,0.096358,2
0.522208,0.258825,2
0.546918,0.721289,2
0.552782,-0.180708,2
0.318808,-0.084335,2
0.368435,0.266552,2
0.355055,0.212436,2
0.421771,0.023476,2
0.463466,-0.012865,2
0.874564,0.14607,2
0.602812,-0.104609,2
0.54135,0.059112,2
0.598027,0.063842,2
0.495685,-0.00073,2
0.615504,-0.188861,2
0.526995,-0.200885,2
0.386192,0.244816,2
0.670846,0.330478,2
0.631303,0.355147,2
0.272429,0.080164,2
0.42316,-0.005677,2
0.569945,0.22018,2
0.54677,0.000635,2
0.644634,-0.108503,2
0.33049,0.398421,2
0.604569,0.062015,2
0.49963,0.238389,2
0.496446,0.181489,2
0.347175,0.640876,2
0.32093,-0.075749,2
0.365978,0.316286,2
0.474283,0.458334,2
0.637548,0.222463,2
0.566459,0.053136,2
0.475848,0.133914,2
0.665663,0.114337,2
0.371727,0.131951,2
0.549839,0.020242,2
0.548093,0.272707,2
0.43088,0.22985,2
0.488707,0.272957,2
0.623646,0.046067,2
0.560202,0.007605,2
0.588193,0.012234,2
0.496275,0.251859,2
0.547725,0.295978,2
0.742276,0.345193,2
0.416714,0.247447,2
0.475337,0.112276,2
0.457591,0.086811,2
0.793017,0.245275,2
0.658001,-0.131871,2
0.386329,0.213788,2
0.329081,-0.015377,2
0.669273,0.134263,2
0.3982,0.201912,2
0.555102,0.570056,2
0.624827,0.18905,2
0.631259,0.312401,2
0.496457,0.275512,2
0.529513,0.551762,2
0.535753,0.259178,2
0.552565,0.612258,2
0.726087,0.58965,2
0.465896,0.367826,2
0.568691,0.201113,2
0.543245,0.093612,2
0.176811,0.351773,2
0.478049,0.236952,2
0.395095,0.10593,2
0.655882,0.283979,2
0.490444,-0.101991,2
0.392283,-0.020575,2
0.338583,0.321335,2
0.428911,0.392967,2
0.277253,0.172784,2
0.435939,-0.15816,2
0.398806,0.449298,2
0.613824,0.233556,2
0.768079,0.074082,2
0.689012,-0.088887,2
0.701278,-0.050672,2
0.569745,0.008098,2
0.394482,0.682313,2
0.524788,0.112344,2
0.330352,0.329458,2
0.423108,0.14925,2
0.125243,-0.09151,2
0.512942,0.198049,2
0.370549,0.471651,2
0.541996,0.302336,2
0.536198,0.167412,2
0.413395,0.152404,2
0.658506,0.527055,2
0.677333,0.183436,2
0.485011,0.224001,2
0.505961,0.153636,2
0.375801,-0.039047,2
0.57167,0.548451,2
0.680946,-0.155572,2
0.386181,0.091313,2
0.647923,-0.075107,2
0.257382,-0.13171,2
0.614406,0.396134,2
0.611001,0.149913,2
0.427473,-0.104648,2
0.414485,0.24743,2
0.385599,0.174578,2
0.595548,0.380922,2
0.703562,-0.068702,2
0.557471,0.445107,2
0.606963,0.168942,2
0.444255,0.16121,2
0.476194,-0.091289,2
0.52649,0.031675,2
0.466099,0.597479,2
0.582563,0.493527,2
0.498903,0.145922,2
0.532255,0.663853,2
0.632769,0.354582,2
0.649691,0.427787,2
0.642924,0.051295,2
0.409071,0.708385,2
0.545501,0.282869,2
0.410317,-0.251911,2
0.637181,0.285211,2
0.71143,0.157946,2
0.457012,0.357421,2
0.545221,0.233476,2
0.385799,0.081443,2
0.609442,0.010113,2
0.284624,0.220355,2
0.54543,0.337929,2
0.799096,0.101981,2
0.55701,0.564688,2
0.258129,0.023927,2
0.393162,0.002114,2
0.386878,0.178556,2
0.551829,0.441141,2
0.709503,-0.050332,2
0.45741,0.136656,2
0.471678,0.521699,2
0.191954,-0.328112,2
0.576905,0.173991,2
0.666144,0.536036,2
0.400486,0.634564,2
0.413205,0.230203,2
0.311382,0.268618,2
0.482398,0.489477,2
0.529908,0.537625,2
0.478774,0.22302,2
0.470107,0.009271,2
0.502914,-0.041746,2
0.457267,-0.070793,2
0.491817,0.352257,2
0.748393,0.605882,2
0.454917,0.697236,2
0.713006,-0.05496,2
0.509101,0.043045,2
0.530155,0.754638,2
0.409011,0.513492,2
0.184788,0.0911,2
0.231027,-0.221359,2
0.515789,0.453421,2
0.328518,-0.156073,2
0.57044,0.436831,2
0.920007,0.388738,2
0.52279,0.566383,2
0.493873,0.459801,2
0.566025,0.635138,2
0.415572,0.702736,2
0.579549,0.204097,2
0.378645,-0.119634,2
0.568186,0.251625,2
0.572655,0.116887,2
0.552584,-0.126363,2
0.190339,0.406717,2
0.69674,0.230152,2
0.579441,0.405536,2
0.547409,-0.008776,2
0.359908,0.2652,2
0.44773,0.1901,2
0.369135,0.265906,2
0.446704,0.073061,2
0.551794,0.064017,2
0.559972,0.173536,2
0.319648,0.107715,2
0.41821,0.132924,2
0.583441,0.200824,2
0.406117,0.596757,2
0.436799,0.136592,2
0.601264,0.036529,2
0.544453,0.136188,2
0.566813,0.324476,2
0.484202,0.080449,2
0.506362,0.124997,2
0.465012,0.294707,2
0.370947,0.086076,2
0.370629,0.603855,2
0.591331,0.28275,2
0.546926,0.253831,2
0.560164,0.531037,2
