@relation MultiGaussian

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
28.874,9.1848,1
28.512,8.546,1
29.678,7.4996,1
28.028,9.1251,1
29.975,9.4913,1
28.076,8.5614,1
28.031,8.8998,1
29.775,7.7456,1
31.302,8.6216,1
29.38,7.3165,1
28.212,6.496,1
30.159,8.3602,1
28.863,8.1072,1
27.551,7.4034,1
30.156,6.6939,1
29.762,8.608,1
31.382,9.7355,1
27.266,8.3677,1
26.62,7.9707,1
29.21,7.508,1
29.078,7.4034,1
28.647,9.4671,1
29.678,7.9297,1
29.759,6.2799,1
29.763,9.3727,1
26.943,9.4988,1
28.357,8.8727,1
31.667,6.6862,1
24.947,8.2311,1
31.64,8.4262,1
26.748,8.4065,1
28.848,8.1098,1
29.874,6.4024,1
31.928,9.8768,1
31.638,8.4491,1
28.61,8.2103,1
29.695,7.6773,1
29.207,9.3044,1
31.339,8.5357,1
26.42,7.798,1
31.285,8.8819,1
28.817,8.0898,1
28.23,9.6809,1
29.635,7.4064,1
30.322,9.3856,1
29.087,6.9475,1
28.956,8.1607,1
26.727,6.5828,1
27.684,7.5935,1
29.607,8.0835,1
28.827,7.4499,1
30.486,8.4358,1
28.911,8.1339,1
30.476,7.9376,1
28.256,6.5993,1
30.811,9.0783,1
27.427,8.0654,1
29.3,8.8297,1
28.399,8.2815,1
29.726,7.3675,1
29.491,6.78,1
26.56,7.7005,1
25.708,6.7877,1
27.631,6.4331,1
30.32,5.7043,1
32.305,8.374,1
29.19,8.3689,1
30.096,8.1916,1
28.967,6.8457,1
29.801,8.43,1
28.449,6.4522,1
27.678,7.8077,1
29.39,9.7518,1
28.111,10.419,1
29.01,8.0551,1
29.656,8.7017,1
28.938,7.5636,1
28.496,6.7228,1
28.74,7.4113,1
25.396,6.7282,1
29.47,8.3908,1
30.161,8.681,1
27.087,8.3201,1
30.253,7.7141,1
30.586,9.3981,1
29.305,8.0568,1
29.355,7.7041,1
28.047,8.4524,1
27.28,6.6726,1
27.652,7.5861,1
27.608,9.5035,1
31.059,7.7864,1
29.916,6.6145,1
29.603,8.0834,1
31.237,7.172,1
30.722,9.2502,1
28.937,7.4842,1
28.524,6.7506,1
30.22,8.3465,1
28.992,8.7978,1
28.202,8.0132,1
28.203,8.3375,1
30.781,8.1245,1
29.876,9.5165,1
27.654,10.167,1
28.788,8.7613,1
26.458,7.3867,1
29.808,7.635,1
26.907,8.2855,1
28.826,8.2828,1
29.414,9.8167,1
31.113,7.7249,1
28.977,7.9277,1
28.938,8.1669,1
27.964,7.1513,1
30.538,8.2636,1
25.351,7.5872,1
29.376,8.0818,1
28.045,7.5298,1
30.828,5.9214,1
31.243,7.1862,1
29.628,7.3649,1
29.561,6.812,1
29.484,7.9218,1
29.936,8.7286,1
30.684,8.1662,1
27.028,8.6459,1
28.187,7.4556,1
28.938,8.0812,1
30.134,7.3856,1
28.642,7.1298,1
27.923,7.5434,1
27.212,8.1036,1
31.222,8.8205,1
25.967,9.2784,1
31.64,9.1994,1
30.105,7.8355,1
31.838,7.5152,1
27.299,9.7367,1
30.365,8.7854,1
31.548,6.8944,1
31.36,6.4379,1
28.252,9.2078,1
29.077,7.482,1
30.095,8.2447,1
27.613,9.3949,1
30.09,8.0122,1
26.374,10.045,1
32.31,9.3884,1
30.495,7.4929,1
29.214,6.8587,1
29.695,7.2768,1
29.969,7.216,1
29.647,6.2565,1
28.512,8.0087,1
27.765,6.7083,1
29.774,9.0753,1
26.245,9.7645,1
25.421,9.1577,1
28.928,8.0669,1
30.75,6.7891,1
30.199,8.202,1
30.009,8.431,1
29.539,9.4464,1
28.371,7.5132,1
27.105,6.6698,1
28.828,6.9495,1
29.018,7.6472,1
28.367,7.7641,1
27.9,6.6027,1
26.104,7.2494,1
29.208,9.923,1
30.096,8.2551,1
26.803,10.068,1
28.934,8.3237,1
28.285,8.2689,1
26.715,6.9959,1
30.774,8.4095,1
27.975,9.1532,1
27.367,9.4414,1
28.252,7.6286,1
28.35,7.8356,1
28.983,7.5442,1
29.404,9.2662,1
29.06,7.2652,1
28.042,8.6669,1
30.901,7.6751,1
30.792,7.9089,1
29.048,8.7921,1
29.097,6.7724,1
29.809,9.1181,1
31.26,6.5121,1
29.718,8.222,1
26.687,7.3948,1
26.599,8.2699,1
29.651,7.8381,1
29.43,7.1213,1
27.888,7.9671,1
29.777,7.557,1
27.867,7.1355,1
27.009,8.9303,1
30.458,5.518,1
28.847,7.0877,1
30.534,7.4963,1
29.665,8.4282,1
28.017,7.291,1
30.242,9.0085,1
28.576,7.4552,1
30.682,6.7701,1
28.79,7.1315,1
30.066,7.7749,1
29.694,8.2406,1
29.757,7.8856,1
28.527,9.5428,1
27.852,8.1032,1
27.087,8.4878,1
31.26,6.4055,1
30.128,6.9655,1
30.845,8.4872,1
31.307,8.4741,1
27.853,7.9144,1
28.973,7.9584,1
30.92,8.403,1
29.237,10.294,1
28.742,8.7928,1
30.766,7.0616,1
28.498,9.0443,1
26.581,8.1438,1
29.978,7.592,1
24.899,7.0989,1
30.925,8.4733,1
29.721,10.368,1
30.327,7.2269,1
28.871,7.8631,1
29.722,8.6264,1
28.427,6.69,1
30.403,8.1411,1
29.516,9.1067,1
26.831,8.088,1
28.807,10.7,1
30.731,7.9298,1
30.318,8.2293,1
28.795,8.9136,1
27.167,7.3109,1
29.253,7.5321,1
29.936,7.4532,1
28.687,8.8507,1
26.912,9.1926,1
28.108,7.4994,1
28.619,6.8426,1
29.051,8.7165,1
27.64,9.7762,1
29.364,7.9656,1
33.821,8.247,1
31.031,7.0019,1
31.124,6.846,1
29.695,8.1695,1
28.318,9.3352,1
29.157,7.1588,1
32.417,6.949,1
28.641,8.7037,1
28.71,7.3015,1
28.821,8.148,1
29.458,8.6534,1
30.174,9.1287,1
30.147,6.885,1
27.196,8.4432,1
28.15,6.6617,1
27.881,7.1066,1
31.76,8.2351,1
29.232,7.2265,1
29.475,5.4499,1
30.879,8.8554,1
28.534,8.0605,1
27.512,8.1009,1
29.31,8.0903,1
26.876,9.5697,1
26.08,6.4725,1
30.171,8.5273,1
30.988,7.444,1
29.048,7.7707,1
28.98,8.075,1
29.855,8.8438,1
30.6,9.1464,1
29.418,8.361,1
29.203,6.0135,1
27.98,8.5497,1
28.952,7.7509,1
28.511,9.686,1
28.472,8.0454,1
30.454,8.6637,1
29.816,6.5747,1
29.374,8.4499,1
29.644,7.9283,1
30.506,5.8129,1
29.204,8.3918,1
29.691,8.9334,1
28.587,8.6345,1
28.905,6.7237,1
26.587,6.3757,1
29.16,9.6381,1
27.652,6.2649,1
28.616,8.7625,1
29.882,8.803,1
28.806,9.107,1
28.333,8.344,1
28.834,7.8828,1
30.469,7.9333,1
28.733,7.8352,1
28.911,6.1581,1
28.422,8.1769,1
29.256,8.302,1
30.851,8.0319,1
31.23,7.6274,1
29.962,9.0113,1
31.554,8.8938,1
28.452,9.1279,1
30.622,7.9146,1
28.818,8.0949,1
27.7,8.3139,1
24.309,6.7562,1
25.918,7.1966,1
30.106,5.9146,1
27.245,9.4796,1
28.896,8.8009,1
29.714,8.7283,1
31.131,8.8034,1
30.297,5.5894,1
29.681,7.8003,1
29.353,5.612,1
29.336,7.5029,1
30.25,7.5813,1
28.123,8.1803,1
28.768,7.8553,1
29.877,8.0545,1
29.422,7.9622,1
30.428,6.4188,1
27.983,8.9289,1
29.798,6.7108,1
31.963,7.3959,1
31.237,7.5861,1
30.232,9.4884,1
30.619,6.4334,1
28.264,8.1634,1
31.306,10.009,1
30.598,8.5454,1
29.916,8.5455,1
30.728,8.0162,1
29.778,8.2167,1
28.319,7.9953,1
29.88,8.5475,1
30.979,9.3811,1
32.501,7.2182,1
28.253,8.1283,1
29.927,8.4133,1
29.255,6.8847,1
29.419,7.8286,1
28.719,4.7764,1
28.489,5.7575,1
27.908,7.7848,1
27.766,7.9261,1
30.258,9.9363,1
27.791,9.2144,1
28.049,6.7083,1
29.111,8.6683,1
26.972,7.9359,1
31.384,7.0137,1
30.877,10.315,1
28.869,7.691,1
29.463,8.1779,1
28.371,8.8418,1
28.654,6.8176,1
26.323,6.5359,1
29.685,7.9541,1
28.359,6.7811,1
27.724,8.5767,1
28.181,8.7516,1
26.528,7.0934,1
29.278,7.7144,1
26.221,7.655,1
29.424,5.9641,1
27.434,5.9547,1
28.49,9.0479,1
29.861,6.2704,1
29.192,7.8213,1
28.761,9.0896,1
29.934,6.9616,1
27.526,7.1883,1
30.841,8.3425,1
28.999,8.6503,1
29.929,10.345,1
26.676,7.1004,1
28.246,8.8186,1
27.384,8.0884,1
30.057,8.1364,1
26.82,7.0467,1
28.449,10.11,1
28.836,9.1758,1
27.044,7.2395,1
25.984,7.4907,1
30.117,8.9624,1
27.103,9.7122,1
31.395,8.6316,1
26.78,5.2518,1
24.281,7.2519,1
28.244,7.4675,1
30.901,6.577,1
28.495,6.4675,1
27.346,7.8035,1
31.189,8.785,1
26.421,5.6288,1
29.797,10.989,1
31.345,9.9208,1
30.084,7.2814,1
30.021,7.2819,1
29.773,7.8754,1
29.997,8.6691,1
30.004,8.1586,1
28.455,10.171,1
30.207,9.1072,1
29.982,7.6939,1
28.409,7.4313,1
27.29,9.2034,1
28.218,8.3251,1
31.978,7.5208,1
29.892,8.5591,1
30.547,9.521,1
31.24,9.4291,1
27.874,8.4295,1
27.555,8.7003,1
27.613,9.1719,1
29.923,8.718,1
26.039,9.9616,1
29.244,7.7493,1
28.67,8.1872,1
29.739,8.0592,1
27.552,7.672,1
29.299,6.2694,1
29.559,8.1395,1
28.665,7.4621,1
29.188,9.4579,1
32.594,8.1673,1
27.757,7.8887,1
30.107,5.7797,1
29.317,9.857,1
31.338,7.1005,1
30.47,7.0251,1
28.876,8.0128,1
28.71,6.7806,1
33.602,10.189,1
30.934,9.2547,1
28.822,7.4697,1
26.146,8.5827,1
28.102,9.203,1
29.42,7.6294,1
27.493,8.5556,1
27.44,7.0707,1
30.475,8.182,1
31.311,8.0712,1
28.242,7.9797,1
29.022,7.4675,1
27.963,8.0961,1
30.769,7.0309,1
30.086,9.1142,1
28.929,7.547,1
27.134,8.4398,1
28.967,8.4648,1
25.927,7.7321,1
28.713,8.4071,1
27.988,9.0327,1
27.26,7.4338,1
27.549,8.6409,1
26.857,7.3094,1
28.829,8.3704,1
31.391,7.3241,1
29.428,8.0287,1
27.983,8.619,1
27.454,6.6067,1
27.884,9.9625,1
27.932,9.6886,1
30.614,9.733,1
30.552,7.894,1
25.376,6.8201,1
28.867,6.875,1
28.973,9.2946,1
29.511,7.999,1
28.668,8.8669,1
29.499,8.2005,1
27.123,8.6253,1
29.302,8.0345,1
28.75,8.4014,1
28.372,7.5795,1
26.67,7.9758,1
28.414,8.4508,1
30.374,7.9162,1
27.995,8.0493,1
28.326,6.4782,1
28.796,9.0781,1
29.503,6.4813,1
30.12,6.7655,1
30.043,7.5666,1
31.764,6.2003,1
28.701,7.9933,1
28.21,7.9904,1
29.782,8.6187,1
31.076,8.6743,1
30.821,7.424,1
27.657,8.1735,1
27.258,8.1915,1
29.918,8.5087,1
30.04,10.159,1
29.624,8.1739,1
29.162,7.3058,1
28.4,8.9828,1
30.405,7.3255,1
28.841,8.5074,1
29.865,8.9307,1
28.069,9.0272,1
26.958,6.6762,1
27.23,8.549,1
28.39,6.7233,1
28.237,7.4284,1
28.263,7.5031,1
29.609,9.4163,1
29.323,9.4841,1
29.701,6.941,1
27.816,8.7455,1
28.529,7.2821,1
28.062,7.9151,1
30.718,8.3706,1
29.567,8.666,1
28.325,7.3849,1
27.096,8.8712,1
28.629,8.1543,1
28.459,8.3577,1
29.802,8.8253,1
31.837,8.242,1
27.03,8.5153,1
27.264,7.4938,1
30.647,7.3051,1
27.935,7.364,1
30.348,8.1831,1
27.974,5.6926,1
28.763,6.811,1
26.04,7.561,1
29.824,6.4218,1
25.726,5.7093,1
28.455,6.742,1
29.73,8.5479,1
28.517,7.9168,1
29.039,6.1189,1
28.802,7.0475,1
29.829,7.4475,1
28.054,8.9356,1
28.391,6.5998,1
27.761,8.4761,1
29.983,8.8693,1
29.032,7.2077,1
31.059,8.0351,1
28.594,8.2657,1
28.406,8.1666,1
27.305,9.2715,1
25.937,6.0741,1
28.824,6.5901,1
31.677,6.6802,1
27.063,7.2526,1
30.659,7.4857,1
31.779,7.9209,1
32.469,9.7632,1
27.922,7.6567,1
27.531,8.0047,1
25.371,8.7025,1
28.218,8.8165,1
30.787,8.3295,1
27.135,7.4583,1
29.466,7.7877,1
29.467,8.9639,1
26.764,7.8788,1
27.435,9.7866,1
28.347,7.6784,1
29.6,7.7473,1
32.974,6.8874,1
31.444,8.3332,1
27.944,8.4893,1
32.323,8.2646,1
33.583,9.266,1
28.506,8.616,1
30.127,6.7677,1
29.539,7.3215,1
29.747,8.0921,1
25.876,8.2258,1
28.685,7.3983,1
27.719,8.334,1
26.991,8.1778,1
30.851,8.8278,1
29.929,7.6706,1
28.956,8.0479,1
28.979,8.4794,1
28.506,8.7348,1
30.789,9.3781,1
29.954,7.3672,1
26.213,7.863,1
28.331,6.8594,1
28.339,8.185,1
30.146,6.9565,1
28.745,8.588,1
30.954,8.6625,1
29.514,9.2018,1
28.88,7.7954,1
29.769,9.9745,1
30.03,7.9751,1
28.79,6.5149,1
27.389,8.1134,1
28.943,8.6108,1
29.305,7.72,1
25.781,8.6809,1
28.908,8.4708,1
30.516,7.8409,1
28.539,8.292,1
27.586,7.9858,1
30.424,8.451,1
29.007,7.7291,1
26.635,6.7048,1
31.062,8.0554,1
27.312,10.022,1
29.809,8.7251,1
31.824,7.1491,1
29.3,6.6211,1
27.949,6.7033,1
27.644,9.3587,1
28.365,8.5422,1
29.049,10.092,1
29.52,9.6328,1
27.309,6.9307,1
31.234,8.1966,1
28.53,8.5514,1
28.404,8.1027,1
29.747,10.305,1
28.251,6.945,1
28.517,6.5777,1
30.68,6.9815,1
29.221,8.6559,1
27.06,9.6018,1
29.549,8.5921,1
29.511,7.991,1
29.699,6.6472,1
28.281,7.2743,1
29.947,8.6494,1
28.013,7.5794,1
27.211,9.0499,1
28.516,7.6712,1
26.961,9.4618,1
31.283,7.3679,1
28.352,8.3547,1
29.433,7.8577,1
29.375,8.4399,1
29.036,7.9178,1
27.504,8.1749,1
28.992,7.4256,1
29.699,8.4287,1
27.978,7.6121,1
29.347,7.1584,1
28.667,9.127,1
26.757,7.4273,1
29.876,9.9291,1
29.514,6.8053,1
29.034,8.5423,1
29.905,8.7408,1
28.882,7.644,1
28.119,6.7473,1
29.913,8.4775,1
28.139,7.5052,1
29.804,8.1098,1
30.926,8.8101,1
28.562,7.4308,1
28.462,5.2769,1
27.978,7.3118,1
27.323,8.4194,1
27.394,7.8518,1
28.837,8.0617,1
26.16,8.9934,1
29.422,8.1355,1
29.767,6.3947,1
31.74,8.2863,1
29.24,10.589,1
27.415,9.5082,1
28.246,6.9131,1
29.145,9.1608,1
28.633,9.0984,1
29.299,7.6404,1
30.71,8.9859,1
28.158,8.2918,1
27.534,9.3367,1
27.488,7.1869,1
30.269,7.0597,1
30.603,8.6028,1
30.155,7.4491,1
28.566,7.7034,1
30.443,8.746,1
29.484,6.8892,1
26.885,6.7119,1
28.778,9.9091,1
28.457,8.8184,1
31.9,7.0354,1
29.245,8.1541,1
27.772,8.1559,1
28.176,8.8115,1
28.618,7.1197,1
30.255,8.0793,1
29.932,10.087,1
29.16,8.0928,1
28.71,7.6791,1
26.247,7.0791,1
25.793,8.1374,1
29.273,5.0275,1
30.388,9.8261,1
28.283,8.7182,1
27.54,7.4919,1
24.776,9.2542,1
28.376,7.6418,1
28.92,8.3427,1
30.651,9.0065,1
29.431,7.2125,1
27.269,7.6752,1
30.648,7.8688,1
28.239,8.3289,1
29.136,6.9892,1
28.479,8.2301,1
28.719,7.1331,1
26.45,7.7472,1
30.231,7.445,1
33.006,7.4916,1
27.367,7.8267,1
31.106,8.9217,1
27.61,8.3351,1
29.679,7.4144,1
29.322,8.8049,1
29.177,7.5675,1
28.921,7.2014,1
30.151,10.009,1
27.034,8.5647,1
31.934,8.9808,1
28.046,8.3882,1
28.005,7.7157,1
27.828,8.0242,1
28.554,7.8539,1
29.636,9.3192,1
27.339,8.5683,1
30.099,9.3046,1
28.398,6.2579,1
28.912,8.6719,1
28.425,8.2933,1
26.744,6.3857,1
27.773,8.1626,1
30.807,6.9908,1
30.08,8.0109,1
27.32,9.1174,1
29.571,8.6264,1
32.229,8.6017,1
29.759,7.9282,1
28.523,8.9025,1
31.149,7.8234,1
29.61,8.4119,1
24.291,7.1768,1
29.006,7.0273,1
28.885,7.1818,1
28.907,7.9921,1
29.761,7.377,1
28.67,7.3643,1
26.993,8.7587,1
31.301,7.5949,1
30.71,6.4224,1
29.214,7.3078,1
26.651,8.1152,1
27.778,7.6278,1
30.72,9.2523,1
31.793,8.314,1
29.906,6.6347,1
28.42,7.9584,1
27.333,8.5527,1
29.449,8.6307,1
32.047,7.819,1
29.074,8.1626,1
31.123,8.4602,1
29.194,6.1707,1
29.687,8.5176,1
28.665,7.6885,1
29.438,7.2293,1
28.168,7.0548,1
28.698,8.095,1
27.511,6.4144,1
28.075,8.6442,1
31.11,7.8966,1
28.832,7.0545,1
29.382,7.9939,1
25.04,7.4441,1
25.92,8.8428,1
26.774,7.461,1
28.061,6.9233,1
29.551,9.1595,1
29.188,7.6625,1
28.594,9.6251,1
29.203,6.9441,1
27.918,7.5608,1
31.958,7.5813,1
29.473,7.8363,1
30.07,7.0072,1
28.147,5.5554,1
28.101,9.8025,1
29.469,7.3713,1
27.279,7.867,1
28.745,6.4611,1
27.464,7.5307,1
28.723,8.8636,1
28.802,9.7387,1
31.827,7.3638,1
27.496,7.7981,1
29.2,6.9175,1
28.605,7.533,1
28.047,7.9293,1
26.379,9.2038,1
27.414,6.6201,1
29.874,8.4323,1
28.624,7.7888,1
26.693,6.7053,1
29.677,8.4762,1
30.807,7.1327,1
28.086,7.5034,1
28.265,7.0278,1
30.216,8.2515,1
28.656,8.0052,1
32.05,7.103,1
30.118,7.9761,1
28.415,7.1583,1
29.307,9.038,1
30.748,10.626,1
28.532,7.4315,1
26.812,7.695,1
26.534,7.5476,1
28.103,9.1387,1
27.331,8.0768,1
31.902,8.4702,1
33.657,7.8381,1
28.052,8.0308,1
27.954,7.674,1
26.925,6.2639,1
27.374,6.8279,1
28.276,9.4818,1
28.253,8.9826,1
30.124,7.0923,1
33.019,5.4966,1
29.37,9.6402,1
27.421,7.3188,1
31.593,9.5121,1
28.918,7.9122,1
30.92,8.2098,1
29.68,7.6348,1
27.62,9.0848,1
27.126,8.5107,1
30.789,7.5205,1
28.174,8.7986,1
29.287,9.2124,1
