@relation temp1427227931572

@attribute x0 numeric
@attribute x1 numeric
@attribute class {1,-1}

@data
-0.85229,0.438341,-1
-0.835495,-0.134345,-1
-0.778561,0.906116,-1
-0.767228,-0.767183,-1
-0.731341,-0.734818,-1
-0.704537,0.438521,-1
-0.631026,0.5649,-1
-0.586365,-0.245524,-1
-0.536985,-0.886823,-1
-0.514617,-0.42624,-1
-0.389055,-0.036675,1
-0.37485,0.157155,-1
-0.37246,0.134892,1
-0.365026,0.001502,1
-0.361968,-0.047395,1
-0.348396,0.041588,1
-0.347185,0.106783,1
-0.345281,-0.052678,1
-0.34427,0.135762,1
-0.344054,-0.054291,1
-0.344038,0.17056,1
-0.343796,-0.972366,-1
-0.343422,-0.317685,-1
-0.340058,-0.120139,1
-0.330891,0.148855,1
-0.33065,0.169487,1
-0.328301,0.131511,1
-0.323047,-0.028175,1
-0.318078,0.144161,1
-0.316726,0.028949,1
-0.315394,-0.084436,1
-0.31496,-0.196337,1
-0.313304,0.245482,1
-0.310496,0.075027,1
-0.309906,0.019982,1
-0.308908,0.192277,1
-0.29747,-0.245332,1
-0.294352,0.209802,1
-0.287879,-0.258264,1
-0.287288,0.197526,1
-0.284139,-0.109742,1
-0.284077,-0.320688,-1
-0.283928,-0.056984,1
-0.279751,-0.205979,1
-0.279631,0.009898,1
-0.277173,0.091035,1
-0.273513,-0.01623,1
-0.271054,0.023616,1
-0.269849,0.153651,1
-0.266261,-0.225103,1
-0.263709,-0.078967,1
-0.257788,0.257163,1
-0.25203,0.080814,1
-0.239814,0.051791,1
-0.238996,0.21289,1
-0.233886,-0.031383,1
-0.230378,-0.939838,-1
-0.219128,-0.009393,1
-0.219076,-0.203278,1
-0.215339,0.030718,1
-0.213906,-0.225486,1
-0.211715,-0.102854,1
-0.210789,-0.149268,1
-0.196531,-0.134219,1
-0.19168,-0.051684,1
-0.190076,0.067523,1
-0.189909,-0.315873,1
-0.187413,-0.150862,1
-0.185521,-0.113262,1
-0.183599,0.082068,1
-0.182731,-0.339763,1
-0.170137,0.288298,1
-0.168941,-0.225489,1
-0.164155,-0.142817,1
-0.15929,-0.368146,-1
-0.159075,-0.28156,1
