@relation temp1427225232958

@attribute x0 numeric
@attribute x1 numeric
@attribute class {1,-1}

@data
-0.968679,0.698721,-1
-0.95613,-0.447559,-1
-0.764222,-0.795038,-1
-0.758991,-0.529209,-1
-0.557414,-0.838914,-1
-0.514257,0.582393,-1
-0.488847,-0.167239,-1
-0.407584,0.704213,-1
-0.390351,0.089103,-1
-0.389055,-0.036675,1
-0.38654,0.095861,1
-0.372944,-0.029712,1
-0.371672,0.1075,1
-0.355005,0.122832,1
-0.350664,0.075852,1
-0.344371,-0.160038,1
-0.34427,0.135762,1
-0.344133,0.158585,1
-0.340058,-0.120139,1
-0.333547,0.131286,1
-0.332312,-0.184487,1
-0.330891,0.148855,1
-0.33065,0.169487,1
-0.318078,0.144161,1
-0.317511,-0.183257,1
-0.316457,0.000884,1
-0.316034,-0.20277,1
-0.315863,-0.256518,-1
-0.314901,-0.03683,1
-0.310496,0.075027,1
-0.309906,0.019982,1
-0.308641,0.442353,-1
-0.306939,-0.005176,1
-0.301979,0.224727,1
-0.298154,0.18997,1
-0.29747,-0.245332,1
-0.294352,0.209802,1
-0.284139,-0.109742,1
-0.283928,-0.056984,1
-0.281566,0.579367,-1
-0.279631,0.009898,1
-0.273513,-0.01623,1
-0.266261,-0.225103,1
-0.263978,0.209383,1
-0.263733,0.002904,1
-0.263709,-0.078967,1
-0.25551,-0.197663,1
-0.247958,0.128502,1
-0.247616,-0.178194,1
-0.244199,-0.131187,1
-0.24232,0.04787,1
-0.240537,0.144167,1
-0.23963,-0.269807,1
-0.238996,0.21289,1
-0.215339,0.030718,1
-0.211715,-0.102854,1
-0.20949,0.288711,1
-0.20789,0.165646,1
-0.206684,0.202819,1
-0.200801,0.036783,1
-0.190063,0.330089,1
-0.189909,-0.315873,1
-0.187468,0.030721,1
-0.181312,0.11774,1
-0.174082,-0.01085,1
-0.17268,0.408406,-1
-0.168941,-0.225489,1
-0.166997,-0.087267,1
-0.164155,-0.142817,1
-0.163248,0.281317,1
-0.161317,0.089921,1
-0.16038,0.092875,1
-0.159075,-0.28156,1
-0.157487,-0.013629,1
-0.156774,0.303491,1
-0.152981,-0.302549,1
-0.152657,0.349564,1
-0.150745,0.117817,1
-0.148479,0.019465,1
-0.148432,0.47481,-1
-0.1459,-0.216942,1
-0.137576,0.337249,1
-0.134873,-0.359118,1
-0.121223,-0.148018,1
-0.118841,-0.054319,1
-0.117233,0.247336,1
-0.11011,0.162996,1
-0.107353,0.166589,1
-0.10624,-0.527372,-1
-0.105126,0.372658,1
-0.101371,-0.150005,1
-0.099497,-0.380227,1
-0.098642,-0.27584,1
-0.098242,-0.074594,1
-0.097932,-0.184547,1
-0.095213,-0.209847,1
-0.095049,-0.157356,1
-0.092958,-0.091558,1
-0.092548,0.081569,1
-0.091567,-0.103189,1
-0.089274,-0.183116,1
-0.087681,-0.323297,1
-0.086998,0.052591,1
-0.085754,-0.348201,1
-0.084314,0.23766,1
-0.081956,0.127131,1
-0.080216,0.020692,1
-0.079162,0.298874,1
-0.079137,-0.16847,1
-0.074332,-0.063753,1
-0.073987,0.396114,-1
-0.065688,0.025029,1
-0.065362,-0.097856,1
-0.0611,-0.263231,1
-0.060696,-0.371417,1
-0.055688,-0.37574,1
-0.049855,-0.284912,1
-0.044806,-0.137524,1
-0.044283,0.148782,1
-0.043779,0.114027,1
-0.042136,-0.114682,1
-0.040471,-0.383876,1
-0.036664,-0.218841,1
-0.033844,-0.334899,1
-0.032736,-0.155136,1
-0.030288,-0.307538,1
-0.024466,-0.221669,1
-0.022906,0.106961,1
-0.020433,0.127467,1
-0.020238,0.373909,1
-0.018673,0.24071,1
-0.018608,-0.279368,1
-0.013793,0.295228,1
-0.010362,0.216919,1
-0.008118,-0.341701,1
-0.007516,0.152879,1
-0.00183,-0.280126,1
-0.001118,-0.098288,1
0.001842,0.027024,1
0.003408,0.053135,1
0.003605,0.06556,1
0.004501,0.248851,1
0.012985,0.177565,1
0.014335,-0.179723,1
0.017807,-0.261371,1
0.0223,0.242151,1
0.02439,0.197878,1
0.028051,-0.340249,1
0.028084,-0.169305,1
0.029052,0.080274,1
0.030405,0.39617,1
0.033997,0.232763,1
0.034286,-0.270607,1
0.035474,0.045724,1
0.037083,0.397902,1
0.037222,-0.00977,1
0.039328,0.091438,1
0.039613,0.037862,1
0.039754,0.036926,1
0.039829,0.083975,1
0.047748,0.313579,1
0.050071,-0.093944,1
0.051403,-0.348824,1
0.052577,-0.184156,1
0.053875,0.142077,1
0.055178,0.065411,1
0.060897,0.061322,1
0.062485,0.352537,1
0.064762,-0.162932,1
0.069494,0.020154,1
0.073088,-0.170845,1
0.07407,0.239,1
0.074986,0.30031,1
0.075882,-0.009602,1
0.077723,0.023186,1
0.083414,-0.129169,1
0.090061,-0.079037,1
0.091653,-0.019129,1
0.093014,-0.016163,1
0.093624,-0.207293,1
0.096406,0.165612,1
0.097424,0.182134,1
0.098028,0.102513,1
0.101588,-0.003272,1
0.107508,-0.014689,1
0.111284,-0.338208,1
0.114853,-0.330528,1
0.119019,0.116789,1
0.122379,-0.476414,-1
0.124655,-0.028475,1
0.126015,-0.052385,1
0.126156,-0.322937,1
0.129994,0.074024,1
0.133207,-0.282534,1
0.142146,-0.146582,1
0.14269,-0.256675,1
0.148008,-0.184064,1
0.15203,0.062707,1
0.157997,0.235319,1
0.159038,-0.236927,1
0.159504,-0.063355,1
0.160658,0.260271,1
0.16075,0.225648,1
0.163166,0.023892,1
0.164739,-0.118424,1
0.166824,0.101081,1
0.167398,0.272354,1
0.16871,0.257821,1
0.171821,-0.148003,1
0.173898,0.138741,1
0.173946,0.221095,1
0.179523,-0.350397,1
0.184096,0.214682,1
0.185088,0.1289,1
0.187891,-0.091771,1
0.198637,0.206345,1
0.199677,0.03422,1
0.201829,-0.361234,-1
0.20405,-0.316229,1
0.206785,0.290863,1
0.206794,-0.079226,1
0.20974,0.156951,1
0.210999,-0.080601,1
0.211465,-0.018751,1
0.212393,-0.249553,1
0.214643,0.056623,1
0.218745,0.330547,1
0.222511,0.198763,1
0.222902,-0.228616,1
0.225568,0.231475,1
0.229866,-0.149757,1
0.231585,-0.277361,1
0.23275,0.279885,1
0.235386,-0.308345,1
0.235704,0.044306,1
0.240603,-0.161532,1
0.247234,0.311708,1
0.251412,-0.106111,1
0.252833,-0.064012,1
0.254218,-0.050273,1
0.25606,-0.003063,1
0.257227,-0.179282,1
0.262125,0.2366,1
0.263666,0.308122,-1
0.266913,0.021569,1
0.268304,-0.198864,1
0.268355,-0.054995,1
0.269776,0.25594,1
0.270702,-0.1882,1
0.282003,-0.154117,1
0.282212,-0.007075,1
0.286613,0.274791,1
0.287068,0.058338,1
0.290195,-0.131042,1
0.291179,-0.235127,1
0.298178,-0.177619,1
0.299572,-0.060241,1
0.306444,0.023046,1
0.311806,-0.194437,1
0.312636,-0.232284,1
0.314553,-0.044474,1
0.323727,0.111735,1
0.333484,-0.189823,1
0.335646,-0.010277,1
0.336095,-0.109461,1
0.342187,0.071372,1
0.342341,0.151564,1
0.351702,0.01331,1
0.355685,-0.037596,1
0.360415,0.128801,1
0.372403,0.095504,1
0.374933,-0.007383,1
0.383234,-0.057166,1
0.383901,-0.033667,1
0.388107,0.071784,1
0.391055,-0.059944,1
0.511374,0.698449,-1
0.528124,0.098807,-1
0.596549,0.843745,-1
0.758305,0.067998,-1
0.7719,0.244907,-1
